114,42,52,99,19,41,5,20,648
150,34,37,69,11,23,13,7,385
188,39,68,60,10,35,14,7,382
133,34,33,77,15,26,25,5,251
122,24,24,58,12,27,12,5,272
75,27,44,53,13,26,9,11,275
226,48,52,122,15,23,27,32,598
269,117,130,111,32,79,36,51,845
255,89,98,136,25,54,26,36,811
126,60,111,65,17,39,19,42,632
114,57,112,66,15,31,5,38,533
107,43,169,37,16,43,4,36,477
73,43,32,52,10,16,5,14,347
280,85,93,97,10,51,31,39,606
264,84,118,124,23,45,37,10,862
144,59,91,54,20,35,28,36,686
135,83,136,118,35,54,21,61,1133
184,59,62,106,10,52,27,27,510
189,72,56,111,25,45,24,5,453
286,87,67,186,25,59,26,30,871
255,95,143,178,28,49,5,5,483
